 Structure Age Ascl1 Bdnf Creb1 Cux2 Fez1 Hes1 Mef2c Myt1l Neurod1 Neurog1 Neurog2 Nog Olig2 Otx1 Otx2 Pax3 Pax5 Pax6 Pou3f2 Pou4f2 Prox13 Satb2 Sox10 Sox11 Sox12 Sox2 Sox3 Sox4 Sox5 Sox6 Sox7 Sox8 Sox9 Stat3
5 1 2.49387 0.0090893 0.142943 1.82667 7.82113 1.03442 0.180158 3.34075 0.763793 0.352877 3.94135 0.0214005 0.111823 0.923241 23.6624 1.99598 0.0529059 6.39783 7.45891 0.00463597 -1 0.0409423 0.010111 0.568591 0.846903 5.51503 1.47015 4.79608 0.641308 0.533794 0.355583 0.201839 0.222016 0.0178298
5 2 0.274522 0.0750959 0.114296 0.911551 8.37888 0.123969 0.103524 7.97647 0.154733 0.0146679 2.4315 0.0172002 0.540913 0.794908 4.13788 1.31546 2.18805 4.69431 15.3265 0.0218905 -1 0.040049 0.02633 0.245282 3.95855 2.25672 0.226734 4.16782 0.867977 0.199233 0.00638496 0.0891824 0.0309047 0.0772378
5 3 0.539065 0.599714 0.0147816 3.3966 8.24311 0.990488 0.57191 9.21083 0.744493 0.306237 0.918756 0.0435087 2.92738 0.181799 9.61244 0.29147 0.779125 5.19705 11.4783 0.0972606 -1 6.61563 0.87368 0.92967 2.9058 3.64689 0.028918 0.0592999 0.120945 0.286435 0.210138 0.49853 0.573647 0.129987
5 4 0.104005 0.151391 0.0305922 5.0388 15.5701 0.127285 1.09291 6.39405 0.747888 0.366043 2.75365 0.169511 4.07947 0.0844462 2.21661 1.00124 0.649084 1.71896 16.6735 0.0687599 -1 2.38129 0.245561 0.0975917 6.27892 0.70905 0.179619 2.48454 3.86733 0.0199483 0.0166665 0.567409 0.0675107 0.513878
5 5 0.765476 1.72195 0.201501 4.44968 13.4169 0.0866066 0.533358 7.47137 0.337887 0.188697 0.700182 2.86593 4.76578 0.726007 2.697 0.212073 0.0557327 0.893749 12.7142 0.0766798 -1 1.45562 6.50918 0.0722623 1.78401 3.21183 -1 1.22902 0.758574 1.70535 0.916745 7.35738 0.0161426 1.30062
5 6 0.655761 0.676509 0.036705 3.14032 15.2416 0.0174747 0.963924 6.98244 0.116637 0.0755447 0.102918 0.184523 2.01745 0.103473 0.8133 0.188707 0.136857 0.234878 9.48706 0.0452285 -1 0.0310355 7.9446 0.0364401 2.95904 4.13554 0.274264 0.380812 1.57236 0.10553 0.187139 5.77561 0.0118789 1.20419
5 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
6 0 15.548 0.073237 0.199709 4.3231 5.56647 0.467296 0.141834 0.0549411 1.03879 1.21893 6.57771 0.605861 0.91422 0.225791 25.4997 6.89866 0.499607 2.19441 34.6239 0.0241639 -1 0.171576 0.0822231 9.99636 3.06921 11.1393 10.5308 14.6875 0.847096 0.0684342 0.122747 0.0161762 0.607005 0.394083
6 1 6.84355 0.0120304 0.591733 0.990026 21.9474 0.748493 0.402595 3.2546 0.342579 2.1762 1.00716 0.0507045 0.0726445 0.885822 17.1714 2.6093 0.842987 0.938523 16.258 0.0596879 -1 0.0892601 0.00838813 2.28066 0.82043 11.6344 1.23199 6.84192 0.385053 1.25666 0.403718 0.356965 0.438414 0.0180164
6 2 1.33985 0.0437133 0.439151 0.551183 13.4283 0.255033 0.470513 8.4901 0.142934 0.185626 0.556279 0.0239738 0.621154 0.283512 10.9075 1.80529 2.41078 0.890744 23.8636 0.280027 -1 0.0892179 0.0210651 0.879069 3.74744 1.43623 0.503283 5.01403 0.24809 0.394189 0.00881055 0.143614 0.143621 0.075593
6 3 0.6034 0.392707 0.027767 2.74756 10.9241 1.26571 0.437672 10.9301 1.12811 0.37078 0.792906 0.0657007 2.29586 0.0880515 14.6169 0.114136 1.25899 1.64307 13.7293 0.50542 -1 1.98064 0.788458 2.88944 2.42566 4.67304 0.0395625 0.144949 0.0647374 0.535354 0.167556 0.570864 0.861592 0.132889
6 4 0.135135 0.0849645 0.0601694 5.61087 20.4707 0.359936 1.32552 7.34555 1.46042 0.878687 2.30595 0.227871 3.74738 0.245835 4.95144 0.898968 0.94104 1.41446 21.8438 0.403175 -1 5.76468 0.149119 0.292555 7.21274 1.125 0.388221 5.71528 3.5349 0.0598586 0.0327055 0.468938 0.216055 0.66895
6 5 1.74736 1.28159 0.259564 4.91723 13.4722 0.137865 0.944005 8.91955 1.67558 1.07788 1.09147 3.31338 5.60317 0.712185 4.31076 0.0332925 0.0377021 1.0714 16.3464 0.304219 -1 2.76277 6.82859 0.809247 1.92507 2.74217 -1 2.11813 0.826388 2.3518 1.07115 7.2556 0.0847419 1.51662
6 6 0.75683 0.422041 0.0749859 2.70095 16.2567 0.0141642 2.17363 7.35955 1.05823 0.277971 0.110405 0.180727 2.0851 0.0535487 2.06316 0.0433056 0.160702 0.086829 10.5291 0.155003 -1 0.155216 7.6582 0.0413457 3.15781 4.82135 0.407555 0.396427 1.38801 0.0617537 0.112795 5.08741 0.0225141 1.04478
