Structure Depth Age Ascl1 Bdnf Creb1 Cux2 Fez1 Hes1 Mef2c Myt1l Neurod1 Neurog1 Neurog2 Nog Olig2 Otx1 Otx2 Pax3 Pax5 Pax6 Pou3f2 Pou4f2 Prox13 Satb2 Sox10 Sox11 Sox12 Sox2 Sox3 Sox4 Sox5 Sox6 Sox7 Sox8 Sox9 Stat3
6 3 3 1.67468 0.882338 0.0374781 4.56561 11.6964 2.11426 0.210381 9.47875 0.50758 0.468541 1.22232 0.103532 3.396 0.0309597 1.98922 0.108225 0.525532 2.79544 9.43976 0.10188 -1 0.416304 2.47128 1.01038 2.42498 4.75573 0.0421817 0.0136661 0.135868 0.545872 0.369271 1.35989 1.51466 0.272688
6 3 4 0.162438 0.165581 0.0859363 4.33313 21.5743 0.439105 0.479107 6.2455 2.33577 0.936275 3.28934 0.263998 5.55302 0.239657 1.22713 0.475247 0.573139 1.90722 15.1582 0.108821 -1 1.74416 0.704029 0.0551313 6.60734 0.9447 0.614055 1.94614 4.27274 0.103161 0.026679 1.3815 0.224336 0.965495
6 3 5 2.03875 1.05569 0.260202 4.95638 15.7199 0.145009 0.18193 7.36742 1.074 0.840327 1.18711 4.45018 6.82077 0.395088 0.73438 0.0214795 0.0287544 1.30418 11.9144 0.172247 -1 0.714957 8.60282 0.285173 1.22853 3.52958 -1 1.73977 1.83711 1.89376 1.48277 9.31289 0.0546065 1.72932
6 3 6 2.46502 0.599527 0.0919879 2.81305 16.828 0.0422796 0.810301 5.75574 0.567471 0.745453 0.34291 0.583573 2.70649 0.0704562 0.624169 0.0946528 0.12466 0.0988355 8.74432 0.146309 -1 0.0705591 7.59718 0.0957809 2.51528 4.2128 0.302316 0.325389 2.27628 0.193987 0.0655031 5.22376 0.0259224 1.38584
6 3 7 20.1309 2.16386 -1 5.89108 -1 4.46317 3.8293 -1 5.93942 -1 -1 0.454981 7.84831 -1 23.4919 0.414571 -1 0.103675 -1 -1 -1 0.381387 4.33472 0.179113 -1 3.85217 -1 -1 0.74266 -1 -1 5.72877 0.0217114 4.23694
7 4 0 11.3939 0.00505526 0.273889 4.9655 10.2958 0.296308 0.116676 0.0850091 0.802816 0.369389 26.2935 0.13497 0.0616437 0.0753887 23.8847 0.0145363 0.521977 2.64152 26.0529 0.0927987 -1 0.0859765 0.0602738 8.78473 3.47104 10.1003 2.3998 13.8593 0.148235 0.0951813 0.0967846 0.0110806 0.878758 0.140245
7 4 1 2.03775 0.00709954 0.155075 1.39111 10.8427 0.60664 0.0645559 4.15119 0.369646 0.0781056 2.31261 0.0517354 0.617251 0.762992 12.9182 0.0389037 0.0986241 2.41676 13.8326 0.0236327 -1 0.0185195 0.0159212 0.396724 1.96664 9.53093 0.437177 6.1823 0.767333 0.279272 0.469361 0.171341 0.22276 0.0317329
7 4 2 0.206177 0.116829 0.0817939 1.32355 8.92204 0.0921419 0.0516868 8.64926 0.0916921 0.0197497 0.339206 0.0431753 0.912255 0.566183 2.78883 0.0749002 8.36517 1.79253 11.051 0.0352477 -1 0.00918926 0.0566935 0.142053 4.97907 1.89602 0.182726 4.12102 0.156802 0.276934 0.00649498 0.225823 0.0100392 0.0947003
7 4 3 0.394706 0.532214 0.00584431 3.20645 6.14707 0.714965 0.0377936 8.97785 0.0728321 0.109954 0.229649 0.0310563 3.06869 0.0761559 4.14689 0.0445455 1.76337 3.09438 10.104 0.0615404 -1 0.0988994 0.899531 0.425263 2.04055 5.75811 0.0033446 0.0385278 0.0384989 0.0939159 0.0585283 0.540668 0.39784 0.1153
7 4 4 0.0605136 0.199849 0.0257014 5.16491 15.0908 0.163426 0.096322 5.43288 0.0727891 0.511784 2.59974 0.167373 4.27121 0.0750046 1.42422 0.328002 1.61934 2.36511 15.5966 0.0394089 -1 0.48096 0.281605 0.03836 5.29356 0.9688 0.187323 2.23896 3.60634 0.0188989 0.0167347 0.653478 0.0435965 0.526566
7 4 5 0.933861 1.41292 0.1927 4.2475 13.2826 0.0782159 0.0529125 7.27173 0.0417172 0.400426 0.642456 2.18222 5.46994 0.489721 1.51877 0.0133976 0.217591 0.603104 11.8662 0.0729839 -1 0.905036 7.82517 0.042466 1.68378 3.57685 -1 1.09137 0.769694 1.28161 1.08852 8.31144 0.00590672 1.19456
7 4 6 0.428462 0.479829 0.0328609 2.5944 15.8684 0.0248775 0.508959 4.43515 0.0379216 0.0784899 0.0803369 0.203707 2.59874 0.0813272 0.59956 0.0301289 0.252722 0.169238 9.09269 0.0395061 -1 0.0163708 8.39659 0.0346773 2.70879 4.52026 0.285649 0.320753 1.46568 0.0665445 0.0447803 6.12357 0.0198694 1.42605
7 4 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
8 4 0 16.7675 0.082719 0.190414 4.40136 5.12503 0.454954 0.146902 0.0539807 1.11619 1.31332 4.50385 0.68062 1.04798 0.245389 26.0657 7.84696 0.376081 1.97554 35.7075 0.0177026 -1 0.186711 0.0729161 10.0751 3.09699 11.4063 11.4367 15.1183 0.959835 0.0674556 0.126574 0.0172073 0.601783 0.432614
8 4 1 7.42391 0.0124218 0.63688 0.970995 23.4576 0.771526 0.446593 3.2662 0.349871 2.41091 0.897916 0.0515679 0.028492 0.836827 17.7975 2.92682 0.546704 0.81886 16.7291 0.0632233 -1 0.0984795 0.00777751 2.48397 0.768078 11.888 1.30706 6.97049 0.352531 1.32636 0.405511 0.372889 0.454104 0.016673
8 4 2 1.4297 0.0325819 0.489355 0.477952 14.1916 0.278009 0.531298 8.57722 0.140145 0.197128 0.591487 0.0239416 0.543635 0.240916 11.8149 2.07882 1.17343 0.838407 25.3824 0.320977 -1 0.101665 0.0187643 0.970273 3.67021 1.39016 0.507879 5.0057 0.259723 0.421696 0.00936183 0.138096 0.16355 0.0741088
8 4 3 0.632163 0.390368 0.0310173 2.73462 11.7916 1.36648 0.465756 11.413 1.11142 0.402369 0.862204 0.0698915 2.1702 0.090808 16.6665 0.122497 1.03346 1.51419 14.5217 0.591733 -1 2.36345 0.787284 3.15912 2.51762 4.36803 0.0453982 0.157867 0.0712047 0.617996 0.185534 0.579899 0.951126 0.137604
8 4 4 0.155116 0.0659632 0.0676081 5.85866 21.8499 0.410414 1.50896 7.84313 1.20776 0.976949 2.24293 0.24132 3.62068 0.28848 5.75128 1.02812 0.601414 1.28934 23.5695 0.48392 -1 7.10445 0.119263 0.328803 7.67873 1.12853 0.416083 6.58514 3.54022 0.0691749 0.036109 0.42661 0.255239 0.708756
8 4 5 1.83975 1.26538 0.268063 4.98633 13.4921 0.146167 1.05166 9.08467 1.87748 1.12718 1.14145 3.45564 5.61785 0.739311 4.61987 0.0358217 0.0177321 1.12049 16.8636 0.329852 -1 2.98966 6.70253 0.883132 1.95619 2.63697 -1 2.23957 0.832103 2.46977 1.06895 7.12995 0.0943635 1.55108
8 4 6 0.820418 0.414228 0.0863277 2.74315 16.5549 0.0128397 2.51066 7.87382 1.10014 0.321523 0.117335 0.176295 2.00031 0.048323 2.44757 0.0472364 0.145332 0.0759921 10.873 0.180065 -1 0.19138 7.6101 0.0434647 3.28891 4.90614 0.44048 0.412369 1.38062 0.0592982 0.129841 4.96794 0.0239036 0.994142
8 4 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
9 3 0 8.99271 0.0141099 0.284586 7.70491 10.7039 0.373829 0.118515 0.263101 1.06423 6.4726 4.51471 0.158542 0.139175 0.0509128 0.354861 3.11665 0.0645094 4.50476 39.1284 0.0673928 -1 0.153307 2.3438 9.34699 3.00837 14.7345 7.94083 17.4148 0.325119 0.0384044 0.13499 0.0404731 0.386536 0.182426
9 3 1 1.04796 0.0160455 0.110718 2.69912 9.3156 1.4894 0.118919 3.18544 1.35987 0.225916 2.00517 0.082083 0.209134 0.0434368 3.94908 0.573165 0.0456971 0.301197 10.591 0.00512309 -1 0.130001 0.728027 0.438474 0.524171 10.3595 0.708745 4.02916 0.645742 0.204113 0.684552 0.160767 0.17909 0.169826
9 3 2 0.405904 0.126105 0.117234 1.45305 8.54348 0.161024 0.0891418 8.00627 0.311482 0.0371285 0.490667 0.0575008 0.203168 0.0446525 1.79362 0.356592 0.258816 4.76427 12.4052 0.0188338 -1 0.0354095 0.220085 0.599348 4.11185 1.418 0.650148 2.7078 0.515762 0.184595 0.00629152 0.26569 0.0520406 0.280316
9 3 3 0.784266 0.395006 0.016413 3.64277 9.36214 1.28653 0.117223 12.2203 0.836537 0.614237 0.824424 0.128816 3.10861 0.0483503 1.73983 0.121527 0.503945 3.16713 8.48221 0.103089 -1 0.154183 1.92483 2.21526 2.91352 4.07133 0.0281338 0.0614219 0.300744 0.245522 0.196124 1.31204 0.818737 0.321945
